personId,movieId,characters
2295,189,Marv
56731,189,Nancy
16851,189,Dwight
24045,189,Johnny
5916,189,Gail
62,189,Hartigan
10912,189,Ava
6280,189,Senator Roark
352,189,Manute
11477,189,Joey
22227,189,Mort
12799,189,Bob
1062,189,Kroenig
5915,189,Goldie:Wendy
36594,189,Sally
825,189,Wallenquist
20982,189,Damien Lord
8693,189,Lt. Liebowitz
78324,189,Miho
237405,189,Bertha
57674,189,Gilda
936970,189,Marcie
73457,118340,Peter Quill
8691,118340,Gamora
543530,118340,Drax
12835,118340,Groot
51329,118340,Rocket
72095,118340,Ronan
12132,118340,Yondu Udonta
543261,118340,Nebula
938,118340,Korath
4764,118340,Corpsman Dey
515,118340,Nova Prime
1121,118340,The Collector
209578,118340,Meredith Quill
51663,118340,Kraglin:On Set Rocket
11115,118340,Denarian Seal
2518,118340,Grandpa
7624,118340,Xandarian Ladies' Man
51797,118340,Monstrous Inmate
1214673,118340,The Other
16848,118340,Ravager Navigator
15218,118340,Maskless Sakaaran
16851,118340,Thanos
13922,118340,Howard the Duck
3896,225574,Bill Marks
1231,225574,Jen Summers
56675,225574,Jack Hammond
70904,225574,Nancy
74541,225574,Austin
3900,225574,David McMillan
17866,225574,David Norton
1267329,225574,Gwen
142294,225574,Kyle Rice
77277,225574,Zack White
74242,225574,Agent Marenick
171886,225574,Charles Wheeler
17866,225574,David Norton
6941,225886,Annie
41088,225886,Jay
52997,225886,Robby
475512,225886,Tess
2879,225886,Hank
9279,225886,Linda
68276,225886,Catalina
52139,188161,Albert
6885,188161,Anna
3896,188161,Clinch
71070,188161,Louise
41686,188161,Foy
1771,188161,Edward
7404,188161,Ruth
15853,188161,Cochise
80378,188161,Young Albert
60286,188161,Dan
175570,188161,Female Passenger
19190,188161,Montgomery
16937,188161,Sheriff
62064,137094,Jack Ryan
116,137094,Cathy Muller
1269,137094,William Harper
43547,137094,Embee
97576,137094,Amy Chan
11181,137094,Viktor Cherevin
79124,137094,FBI Lead Agent
10132,137094,Rob Behringer
21193,137094,Dimitri Lemkov
19839,137094,Dixon Lewis
54014,137094,Sergey Dostal
84497,136797,Tobey Marshall
55470,136797,Dino Brewster
17606,136797,Julia
17838,136797,Finn
72985,136797,Joe Peck
118545,136797,Anita
2232,136797,Monarch
18461,136797,Officer Lejeune
25438,208869,Sam
93491,208869,Fordy
71586,208869,Yatesey
1078568,208869,Frankie
3491,208869,Marcel
28846,227156,Jonas's father
5064,227156,Chief Elder
3897,227156,Jonas' mother
212208,227156,Rosemary
1229,227156,The Giver
37089,227156,Asher
19274,195589,Mac Radner
29222,195589,Teddy Sanders
9827,195589,Kelly Radner
54697,195589,Pete
54691,195589,Scoonie
543505,195589,Sebastian Cremmington
14406,195589,Carol Gladstone
54708,195589,Paula
1158832,195589,Alecia
934243,195589,Brooke
104561,195589,Assjuice
500427,195589,Officer Watkins
111683,195589,Dr. Theodorakis
198150,195589,Jimmy
1214835,195589,Prostitute
27428,124905,Ford Brody
1107800,124905,Young Ford
3899,124905,Dr. Ishiro Serizawa
17419,124905,Joe Brody
550843,124905,Elle Brody
39658,124905,Vivienne Graham
1137,124905,Sandra Brody
11064,124905,Admiral William Stenz
55755,124905,Captain Russell Hampton
59251,124905,Tre Morales
154917,124905,Huddleston
3131,262543,Jacq Vaucan
90514,262543,Rachel Vaucan
29369,262543,Dra. Dupre:Cleo (voice)
32597,262543,Wallace
32597,262543,Robert Bold
41043,262543,Vernon Conway
22810,262543,Ellis
27822,262543,Dominic Hawk
17290,262543,Manager
85178,262543,ROC Technician
3810,262543,Blue Robot (voice)
3810,262543,Clift
119592,244566,Beth Slocum
122889,244566,Zach Orfman
4764,244566,Maury Slocum
28640,244566,Geenie Slocum
57854,244566,Judy Orfman
781,244566,Noah Orfman
84223,244566,Erica Wexler
61178,244566,Roz
5661,244566,Kyle Orfman
133212,82657,Brad Martin
20189,82657,Pia Martin
57451,82657,Laura Baxter
78324,82657,Suzy Lee
21318,82657,Jacinta Bloch
212833,82657,Liz Lewis
98953,82657,Rick
84224,82657,Raquel Mendoza
19195,82657,Jake
51670,82657,Captain Haining
500,137113,"Maj. William ""Bill"" Cage"
5081,137113,Sgt. Rita Vrataski
2039,137113,General Brigham
2053,137113,Msg. Farell
119224,137113,Skinner
93111,137113,Griff
125740,137113,Kuntz
115679,137113,Nance
1284,137113,Dr. Carter
213083,137113,Karen Lord
17352,137113,Dr. Whittle
12799,137113,Col. Walter Marx
69597,232672,Lauren
19292,232672,Jim
63234,232672,Jen
98285,232672,Hilary
53256,232672,Nickens
74949,232672,Mark
591834,232672,Babysitter
58478,232672,Eddy
11701,102651,Maleficent
18050,102651,Princess Aurora
36594,102651,Thistletwit
82191,102651,Stefan
8436,102651,Queen Ulla
11356,102651,Knotgrass
32987,102651,Diaval
12982,102651,King Kinloch
1833,102651,Shepherd
72305,102651,Flittle
116606,102651,Young Stefan
26258,102651,King Henry
1258225,102651,Princess Leila
989325,102651,Teen Maleficent
38673,64688,Jenko
21007,64688,Schmidt
60073,64688,Molly
475512,64688,Ms. Griggs
9778,64688,Capt. Dickson
54697,64688,Eric
17039,64688,Captain
71403,64688,Mr. Walters
85,64688,Tom Hanson (uncredited)
543505,64688,Principal Dadier
168581,64688,Officer Judy Hoffs
1910,64688,Annie Schmidt
118545,64688,Fugazy
27104,64688,Billiam Willingham
934,86834,Noah
6161,86834,Naameh
10990,86834,Ila
33235,86834,Ham
4173,86834,Methuselah
5538,86834,Tubal Cain
79072,86834,Og
230680,86834,Shem
20982,86834,Lamech
234479,86834,Young Noah
506085,86834,Sami
1173,86834,Magog (voice)
5538,86834,Tubal Cain
1733,86834,Samyaza (voice)
16483,138103,Barney Ross
976,138103,Lee Christmas
53256,138103,Hale Caesar
74748,138103,Toll Road
3131,138103,Galgo
1336,138103,Yin Yang
10814,138103,Doc
16644,138103,Gunnar Jensen
83271,138103,Thorn
2461,138103,Conrad Stonebanks
3,138103,Max Drummer
1100,138103,Trench
34502,138103,John Smilee
7090,138103,Bonaparte
2055,138103,Vata
1347239,138103,Mars
38673,64688,Jenko
21007,64688,Schmidt
60073,64688,Molly
475512,64688,Ms. Griggs
9778,64688,Capt. Dickson
54697,64688,Eric
17039,64688,Captain
71403,64688,Mr. Walters
85,64688,Tom Hanson (uncredited)
543505,64688,Principal Dadier
168581,64688,Officer Judy Hoffs
1910,64688,Annie Schmidt
118545,64688,Fugazy
27104,64688,Billiam Willingham
31837,218836,Dusty Crophopper (voice)
31171,218836,Dipper (voice)
9788,218836,Dynamite (voice)
20753,218836,Secretary of the Interior (voice)
26042,218836,Harvey (voice)
15853,218836,Windlifter
32394,218836,Winnie (voice)
3211,218836,Cabbie (voice)
63107,218836,Pinecone (voice)
5292,156022,Robert McCall
56734,156022,Teri
20982,156022,Teddy
6832,156022,Susan Plummer
8984,156022,Brian Plummer
58754,156022,Mandy
35029,156022,Masters
1224149,156022,Slavi
20563,156022,Tevi
94185,222935,Hazel Grace Lancaster
5293,222935,Peter Van Houten
232006,222935,Isaac
4784,222935,Mrs. Lancaster
131006,222935,Mr. Lancaster
113373,222935,
449,82702,Hiccup (voice)
17276,82702,Stoick the Vast (voice)
41091,82702,Ruffnut (voice)
21007,82702,Snotlout (voice)
112,82702,Valka (voice)
938,82702,Drago Bludvist (voice)
239019,82702,"Eret, Son of Eret (voice)"
54691,82702,Fishlegs (voice)
51990,82702,Tuffnut (voice)
59174,82702,Astrid (voice)
24264,82702,Gobber (voice)
44735,172385,Blu (voice)
