personId,name,birthYear,deathYear
23945,Gérard Pirès,1942,
553509,Helen Reddy,1941,
113934,Susan Flannery,1939,
26706,David Rintoul,1948,
237537,Rita Marley,1946,
11502,Harry Davenport,1866,1949
11792,George Dickerson,1933,
7242,Temuera Morrison,1960,
3482,Chus Lampreave,1930,
56687,Fyvush Finkel,1922,
99461,Cedric Hardwicke,1893,1964
68411,Sô Yamamura,1910,2000
1138,Benoît Régent,1953,1994
5590,Elle Macpherson,1963,
3292,Nicholas Hoult,1989,
37759,Kathy Burke,1964,
48464,Joel Palmer,1986,
27763,Casper Van Dien,1968,
113868,Matt Prokop,1990,
12487,Julie Khaner,1957,
73427,Ken Takakura,1931,
23378,Barbara Sukowa,1950,
11953,Benno Fürmann,1972,
52891,Tom Burke,1981,
10671,Joe Don Baker,1936,
16443,Daniel Freire,1961,
78423,Omar Sy,1978,
2274,Miriam Karlin,1925,2011
62551,Heidi Swedberg,1966,
9927,Klaus Löwitsch,1936,2002
183426,Sabrina Bryan,1984,
24264,Craig Ferguson,1962,
96413,Thierry Frémont,1962,
27397,Anton Lesser,1952,
2179,Suzy Amis,1962,
18315,Monica Keena,1979,
9597,George Furth,1932,
47974,Bob Spiers,1945,2008
131931,Shao Bing,1968,
18283,Dato Bakhtadze,1966,
32204,Christopher Redman,1980,
11763,Marcus Gilbert,1958,
24494,Alberto de Mendoza,1923,2011
10459,Curd Jürgens,1915,1982
4956,Bernardo Bertolucci,1940,
81685,Frank Grillo,1963,
35111,Bumper Robinson,1974,
4812,Isaach De Bankolé,1957,
1907,Kathy Baker,1950,
52969,Lisa Ray,1972,
30366,Victoria Jackson,1959,
43643,Frank Lammers,1972,
26532,Dieter Hallervorden,1935,
41295,Leon G. Thomas III,1993,
51917,Larry Clark,1943,
12950,George Kennedy,1925,
8474,Jüri Järvet,1919,1995
59330,Ron Nyswaner,,
12528,Stuart B. Hagen,,
20276,Constance Towers,1933,
69564,Dorsey Wright,1957,
55755,Richard T. Jones,1972,
1108570,Radoslav Parvanov,1977,
35862,Douglas Henshall,1965,
33849,Pamela Hensley,1950,
11777,Tommy Lee Wallace,,
2538,Chiaki Kuriyama,1984,
21687,Park Hae-Il,1977,
10739,Bebe Neuwirth,1958,
55775,Katie Cassidy,1986,
999812,Bradley Parker,,
38341,Bulle Ogier,1939,
55062,Tabu,1970,
42168,Nancy Fish,1938,
11535,Paulette Dubost,1910,2011
31702,Hardie Albright,1903,1975
70852,Schuyler Fisk,1982,
81843,Jennifer Darling,1946,
104561,Craig Roberts,1991,
963433,Ishan Davé,1989,
124828,Kimberley Nixon,1985,
148707,Ashlee Simpson-Wentz,1984,
49827,Michael Cerveris,1960,
41957,Robert Stephens,1931,1995
92429,Jens Hultén,1963,
14849,Peter Donat,1928,
14386,Beyoncé Knowles,1981,
93046,Montel Williams,1956,
41782,Manu Bennett,1969,
6037,Colin Strause,1976,
1052655,Annett Culp,1975,
13549,Deborah Kara Unger,1964,
117051,Darcy Fehr,1974,
32362,Jon Bon Jovi,1962,
2169,Michael Jeter,1952,2003
70674,Norman Chu,1955,
62439,David Belle,1973,
32396,Richard Belzer,1944,
9140,James Faulkner,1948,
45827,Ashley Greene,1987,
4788,Ariana Richards,1979,
52865,Garry Shandling,1949,
66442,Tamsin Egerton,1988,
69555,John Fraser,1931,
1014122,Lavínia Vlasak,1976,
86555,Amrita Singh,1958,
186310,Molly Stanton,1980,
137582,Harold Fong,1911,1982
72034,Jacob Aaron Estes,1972,
2018,Beryl Mercer,1882,1939
5255,Robert Webber,1924,1989
540,Callum Keith Rennie,1960,
39819,Wayne Wang,1949,
121873,Debra Granik,1963,
73832,Jessy Terrero,1975,
9923,Guy Doleman,1923,1996
