"movie","roles","person"
"Something's Gotta Give","Julian Mercer","Keanu Reeves"
"Johnny Mnemonic","Johnny Mnemonic","Keanu Reeves"
"The Replacements","Shane Falco","Keanu Reeves"
"The Devil's Advocate","Kevin Lomax","Keanu Reeves"
"The Matrix Revolutions","Neo","Keanu Reeves"
"The Matrix Reloaded","Neo","Keanu Reeves"
"The Matrix","Neo","Keanu Reeves"
"The Matrix Revolutions","Trinity","Carrie-Anne Moss"
"The Matrix Reloaded","Trinity","Carrie-Anne Moss"
"The Matrix","Trinity","Carrie-Anne Moss"
"The Matrix Revolutions","Morpheus","Laurence Fishburne"
"The Matrix Reloaded","Morpheus","Laurence Fishburne"
"The Matrix","Morpheus","Laurence Fishburne"
"V for Vendetta","V","Hugo Weaving"
"Cloud Atlas","Bill Smoke;Haskell Moore;Tadeusz Kesselring;Nurse Noakes;Boardman Mephi;Old Georgie","Hugo Weaving"
"The Matrix Revolutions","Agent Smith","Hugo Weaving"
"The Matrix Reloaded","Agent Smith","Hugo Weaving"
"The Matrix","Agent Smith","Hugo Weaving"
"The Matrix","Emil","Emil Eifrem"
"That Thing You Do","Tina","Charlize Theron"
"The Devil's Advocate","Mary Ann Lomax","Charlize Theron"
"The Devil's Advocate","John Milton","Al Pacino"
"Jerry Maguire","Jerry Maguire","Tom Cruise"
"Top Gun","Maverick","Tom Cruise"
"A Few Good Men","Lt. Daniel Kaffee","Tom Cruise"
"Something's Gotta Give","Harry Sanborn","Jack Nicholson"
"One Flew Over the Cuckoo's Nest","Randle McMurphy","Jack Nicholson"
"Hoffa","Hoffa","Jack Nicholson"
"As Good as It Gets","Melvin Udall","Jack Nicholson"
"A Few Good Men","Col. Nathan R. Jessup","Jack Nicholson"
"A Few Good Men","Lt. Cdr. JoAnne Galloway","Demi Moore"
"Apollo 13","Jack Swigert","Kevin Bacon"
"Frost/Nixon","Jack Brennan","Kevin Bacon"
"A Few Good Men","Capt. Jack Ross","Kevin Bacon"
"Stand By Me","Ace Merrill","Kiefer Sutherland"
"A Few Good Men","Lt. Jonathan Kendrick","Kiefer Sutherland"
"A Few Good Men","Cpl. Jeffrey Barnes","Noah Wyle"
"What Dreams May Come","Albert Lewis","Cuba Gooding Jr."
"As Good as It Gets","Frank Sachs","Cuba Gooding Jr."
"Jerry Maguire","Rod Tidwell","Cuba Gooding Jr."
"A Few Good Men","Cpl. Carl Hammaker","Cuba Gooding Jr."
"A Few Good Men","Lt. Sam Weinberg","Kevin Pollak"
"Hoffa","Frank Fitzsimmons","J.T. Walsh"
"A Few Good Men","Lt. Col. Matthew Andrew Markinson","J.T. Walsh"
"A Few Good Men","Pfc. Louden Downey","James Marshall"
"A Few Good Men","Dr. Stone","Christopher Guest"
"A Few Good Men","Man in Bar","Aaron Sorkin"
"Top Gun","Charlie","Kelly McGillis"
"Top Gun","Iceman","Val Kilmer"
"Top Gun","Goose","Anthony Edwards"
"Top Gun","Viper","Tom Skerritt"
"When Harry Met Sally","Sally Albright","Meg Ryan"
"Joe Versus the Volcano","DeDe;Angelica Graynamore;Patricia Graynamore","Meg Ryan"
"Sleepless in Seattle","Annie Reed","Meg Ryan"
"You've Got Mail","Kathleen Kelly","Meg Ryan"
"Top Gun","Carole","Meg Ryan"
"Jerry Maguire","Dorothy Boyd","Renee Zellweger"
"Jerry Maguire","Avery Bishop","Kelly Preston"
"Stand By Me","Vern Tessio","Jerry O'Connell"
"Jerry Maguire","Frank Cushman","Jerry O'Connell"
"Jerry Maguire","Bob Sugar","Jay Mohr"
"The Green Mile","Jan Edgecomb","Bonnie Hunt"
"Jerry Maguire","Laurel Boyd","Bonnie Hunt"
"Jerry Maguire","Marcee Tidwell","Regina King"
"Jerry Maguire","Ray Boyd","Jonathan Lipnicki"
"Stand By Me","Chris Chambers","River Phoenix"
"Stand By Me","Teddy Duchamp","Corey Feldman"
"Stand By Me","Gordie Lachance","Wil Wheaton"
"Stand By Me","Denny Lachance","John Cusack"
"RescueDawn","Admiral","Marshall Bell"
"Stand By Me","Mr. Lachance","Marshall Bell"
"Cast Away","Kelly Frears","Helen Hunt"
"Twister","Dr. Jo Harding","Helen Hunt"
"As Good as It Gets","Carol Connelly","Helen Hunt"
"You've Got Mail","Frank Navasky","Greg Kinnear"
"As Good as It Gets","Simon Bishop","Greg Kinnear"
"What Dreams May Come","Simon Bishop","Annabella Sciorra"
"Snow Falling on Cedars","Nels Gudmundsson","Max von Sydow"
"What Dreams May Come","The Tracker","Max von Sydow"
"What Dreams May Come","The Face","Werner Herzog"
"Bicentennial Man","Andrew Marin","Robin Williams"
"The Birdcage","Armand Goldman","Robin Williams"
"What Dreams May Come","Chris Nielsen","Robin Williams"
"Snow Falling on Cedars","Ishmael Chambers","Ethan Hawke"
"Ninja Assassin","Takeshi","Rick Yune"
"Snow Falling on Cedars","Kazuo Miyamoto","Rick Yune"
"The Green Mile","Warden Hal Moores","James Cromwell"
"Snow Falling on Cedars","Judge Fielding","James Cromwell"
"You've Got Mail","Patricia Eden","Parker Posey"
"You've Got Mail","Kevin Jackson","Dave Chappelle"
"RescueDawn","Duane","Steve Zahn"
"You've Got Mail","George Pappas","Steve Zahn"
"A League of Their Own","Jimmy Dugan","Tom Hanks"
"The Polar Express","Hero Boy;Father;Conductor;Hobo;Scrooge;Santa Claus","Tom Hanks"
"Charlie Wilson's War","Rep. Charlie Wilson","Tom Hanks"
"Cast Away","Chuck Noland","Tom Hanks"
"Apollo 13","Jim Lovell","Tom Hanks"
"The Green Mile","Paul Edgecomb","Tom Hanks"
"The Da Vinci Code","Dr. Robert Langdon","Tom Hanks"
"Cloud Atlas","Zachry;Dr. Henry Goose;Isaac Sachs;Dermot Hoggins","Tom Hanks"
"That Thing You Do","Mr. White","Tom Hanks"
"Joe Versus the Volcano","Joe Banks","Tom Hanks"
"Sleepless in Seattle","Sam Baldwin","Tom Hanks"
"You've Got Mail","Joe Fox","Tom Hanks"
"Sleepless in Seattle","Suzy","Rita Wilson"
"Sleepless in Seattle","Walter","Bill Pullman"
"Sleepless in Seattle","Greg","Victor Garber"
"A League of Their Own","Doris Murphy","Rosie O'Donnell"
"Sleepless in Seattle","Becky","Rosie O'Donnell"
"The Birdcage","Albert Goldman","Nathan Lane"
"Joe Versus the Volcano","Baw","Nathan Lane"
"When Harry Met Sally","Harry Burns","Billy Crystal"
"When Harry Met Sally","Marie","Carrie Fisher"
"When Harry Met Sally","Jess","Bruno Kirby"
"That Thing You Do","Faye Dolan","Liv Tyler"
"The Replacements","Annabelle Farrell","Brooke Langton"
"Unforgiven","Little Bill Daggett","Gene Hackman"
"The Birdcage","Sen. Kevin Keeley","Gene Hackman"
"The Replacements","Jimmy McGinty","Gene Hackman"
"The Replacements","Clifford Franklin","Orlando Jones"
"RescueDawn","Dieter Dengler","Christian Bale"
"Twister","Eddie","Zach Grenier"
"RescueDawn","Squad Leader","Zach Grenier"
"Unforgiven","English Bob","Richard Harris"
"Unforgiven","Bill Munny","Clint Eastwood"
"Johnny Mnemonic","Takahashi","Takeshi Kitano"
"Johnny Mnemonic","Jane","Dina Meyer"
"Johnny Mnemonic","J-Bone","Ice-T"
"Cloud Atlas","Luisa Rey;Jocasta Ayrs;Ovid;Meronym","Halle Berry"
"Cloud Atlas","Vyvyan Ayrs;Captain Molyneux;Timothy Cavendish","Jim Broadbent"
"The Da Vinci Code","Sir Leight Teabing","Ian McKellen"
"The Da Vinci Code","Sophie Neveu","Audrey Tautou"
"The Da Vinci Code","Silas","Paul Bettany"
"V for Vendetta","Evey Hammond","Natalie Portman"
"V for Vendetta","Eric Finch","Stephen Rea"
"V for Vendetta","High Chancellor Adam Sutler","John Hurt"
"Ninja Assassin","Ryan Maslow","Ben Miles"
"Speed Racer","Cass Jones","Ben Miles"
"V for Vendetta","Dascomb","Ben Miles"
"Speed Racer","Speed Racer","Emile Hirsch"
"Speed Racer","Pops","John Goodman"
"Speed Racer","Mom","Susan Sarandon"
"Speed Racer","Racer X","Matthew Fox"
"Speed Racer","Trixie","Christina Ricci"
"Ninja Assassin","Raizo","Rain"
"Speed Racer","Taejo Togokahn","Rain"
"Ninja Assassin","Mika Coretti","Naomie Harris"
"The Green Mile","John Coffey","Michael Clarke Duncan"
"The Green Mile","Brutus 'Brutal' Howell","David Morse"
"Frost/Nixon","James Reston, Jr.","Sam Rockwell"
"The Green Mile","Wild Bill' Wharton","Sam Rockwell"
"Apollo 13","Ken Mattingly","Gary Sinise"
"The Green Mile","Burt Hammersmith","Gary Sinise"
"The Green Mile","Melinda Moores","Patricia Clarkson"
"Frost/Nixon","Richard Nixon","Frank Langella"
"Frost/Nixon","David Frost","Michael Sheen"
"Bicentennial Man","Rupert Burns","Oliver Platt"
"Frost/Nixon","Bob Zelnick","Oliver Platt"
"One Flew Over the Cuckoo's Nest","Martini","Danny DeVito"
"Hoffa","Robert 'Bobby' Ciaro","Danny DeVito"
"Hoffa","Peter 'Pete' Connelly","John C. Reilly"
"Apollo 13","Gene Kranz","Ed Harris"
"A League of Their Own","Bob Hinson","Bill Paxton"
"Twister","Bill Harding","Bill Paxton"
"Apollo 13","Fred Haise","Bill Paxton"
"Charlie Wilson's War","Gust Avrakotos","Philip Seymour Hoffman"
"Twister","Dustin 'Dusty' Davis","Philip Seymour Hoffman"
"Something's Gotta Give","Erica Barry","Diane Keaton"
"Charlie Wilson's War","Joanne Herring","Julia Roberts"
"A League of Their Own","All the Way' Mae Mordabito","Madonna"
"A League of Their Own","Dottie Hinson","Geena Davis"
"A League of Their Own","Kit Keller","Lori Petty"
