title,released,tagline
The Matrix,1999,Welcome to the Real World
Something's Gotta Give,1975,
Ninja Assassin,2009,Prepare to enter a secret world of assassins
The Matrix Reloaded,2003,Free your mind
Stand By Me,1995,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of."
The Birdcage,1996,Come as you are
Sleepless in Seattle,1993,"What if someone you never met, someone you never saw, someone you never knew was the only someone for you?"
Charlie Wilson's War,2007,A stiff drink. A little mascara. A lot of nerve. Who said they couldn't bring down the Soviet empire.
The Polar Express,2004,This Holiday Season… Believe
That Thing You Do,1996,In every life there comes a time when that thing you dream becomes that thing you do
Snow Falling on Cedars,1999,First loves last. Forever.
A Few Good Men,1992,"In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
Twister,1996,Don't Breathe. Don't Look Back.
Apollo 13,1995,"Houston, we have a problem."
Unforgiven,1992,"It's a hell of a thing, killing a man"
Johnny Mnemonic,1995,The hottest data on earth. In the coolest head in town
Cast Away,2000,"At the edge of the world, his journey begins."
Jerry Maguire,2000,The rest of his life begins now.
When Harry Met Sally,1998,At odds in life... in love on-line.
V for Vendetta,2006,Freedom! Forever!
The Replacements,2000,"Pain heals, Chicks dig scars... Glory lasts forever"
The Da Vinci Code,2006,Break The Codes
Top Gun,1986,"I feel the need, the need for speed."
Joe Versus the Volcano,1990,"A story of love, lava and burning desire."
RescueDawn,2006,Based on the extraordinary true story of one man's fight for freedom
What Dreams May Come,1998,After life there is more. The end is just the beginning.
Speed Racer,2008,Speed has no limits
One Flew Over the Cuckoo's Nest,1975,"If he's crazy, what does that make you?"
The Green Mile,1999,Walk a mile you'll never forget.
Frost/Nixon,2008,400 million people were waiting for the truth.
The Matrix Revolutions,2003,Everything that has a beginning has an end
The Devil's Advocate,1997,Evil has its winning ways
A League of Their Own,1992,Once in a lifetime you get a chance to do something different.
Cloud Atlas,2012,Everything is connected
As Good as It Gets,1997,A comedy from the heart that goes for the throat.
Bicentennial Man,1999,One robot's 200 year journey to become an ordinary man.
You've Got Mail,1998,At odds in life... in love on-line.
Hoffa,1992,He didn't want law. He wanted justice.
